level,word,meaning_ja,Part_of_Speech,category,pronunciation,example_en,example_ja
4級,ago,〜前に,副詞,時間,/əˈɡoʊ/,I met him two days ago.,私は2日前に彼に会いました。
4級,already,すでに・もう,副詞,時間,/ɔːlˈredi/,I have already finished my homework.,私はすでに宿題を終えました。
4級,yet,（否定文で）まだ・（疑問文で）もう,副詞,時間,/jet/,Is it time yet?,もう時間ですか？
4級,early,早く,副詞・形容詞,時間,/ˈɜːrli/,I got up early this morning.,今朝は早く起きました。
4級,late,遅い・遅れて,副詞・形容詞,時間,/leɪt/,Don't be late for school.,学校に遅れてはいけません。
4級,soon,すぐ・まもなく,副詞,時間,/suːn/,I hope you get well soon.,早く良くなることを願っています。
4級,another,もう一つの・別の,形容詞・代名詞,数量,/əˈnʌðər/,Can I have another cup of tea?,もう一杯お茶をいただけますか？
4級,other,他の,形容詞,数量,/ˈʌðər/,I have other plans.,他に予定があります。
4級,become,〜になる,動詞,基本動詞,/bɪˈkʌm/,I want to become a doctor.,私は医者になりたいです。
4級,begin,始まる・始める,動詞,基本動詞,/bɪˈɡɪn/,The movie begins at six.,映画は6時に始まります。
4級,bring,持ってくる,動詞,基本動詞,/brɪŋ/,Please bring some water.,水を持ってきてください。
4級,carry,運ぶ,動詞,基本動詞,/ˈkæri/,He is carrying a big bag.,彼は大きなバッグを運んでいます。
4級,catch,捕まえる,動詞,基本動詞,/kætʃ/,I caught a cold.,風邪を引きました。
4級,clean,掃除する・きれいな,動詞・形容詞,生活,/kliːn/,I clean my room every Sunday.,毎週日曜日に部屋を掃除します。
4級,cook,料理する,動詞,生活,/kʊk/,My father cooks very well.,父は料理がとても上手です。
4級,dance,踊る,動詞,娯楽,/dæns/,She likes to dance.,彼女は踊るのが好きです。
4級,enjoy,楽しむ,動詞,娯楽,/ɪnˈdʒɔɪ/,I enjoyed the party.,パーティーを楽しみました。
4級,feel,感じる,動詞,感覚,/fiːl/,I feel happy today.,今日は幸せな気分です。
4級,find,見つける,動詞,思考,/faɪnd/,I found my lost key.,失くした鍵を見つけました。
4級,forget,忘れる,動詞,思考,/fərˈɡet/,Don't forget your umbrella.,傘を忘れないで。
4級,give,与える,動詞,基本動詞,/ɡɪv/,I gave her a flower.,私は彼女に花をあげました。
4級,hope,望む,動詞,感情,/hoʊp/,I hope so.,そうだといいな。
4級,join,参加する・加わる,動詞,生活,/dʒɔɪn/,Will you join our club?,私たちのクラブに入りませんか？
4級,leave,去る・出発する,動詞,移動,/liːv/,The train leaves at noon.,列車は正午に出発します。
